,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
211,BAJAJCON,Bajaj Consumer Care Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
212,BAJAJELEC,Bajaj Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
213,BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Financial Services,Finance,Holding Company
214,BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
215,BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company
216,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
217,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Financial Services,Finance,Holding Company
218,BAJEL,Bajel Projects Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
219,BAJFINANCE,Bajaj Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
220,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Industrials,Capital Goods,Industrial Products,Packaging
221,BALAJITELE,Balaji Telefilms Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
222,BALAMINES,Balaji Amines Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
223,BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
224,BALKRISHNA,Balkrishna Paper Mills Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
225,BALKRISIND,Balkrishna Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
226,BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified,Diversified,Diversified
227,BALPHARMA,Bal Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
228,BALRAMCHIN,Balrampur Chini Mills Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
229,BALUFORGE,Balu Forge Industries Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
230,BANARBEADS,Banaras Beads Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
231,BANARISUG,Bannari Amman Sugars Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
232,BANCOINDIA,Banco Products (I) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
233,BANDHANBNK,Bandhan Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank
234,BANG,Bang Overseas Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
235,BANKA,Banka BioLoo Limited,Industrials,Construction,Construction,Civil Construction
236,BANKBARODA,Bank of Baroda,Financial Services,Financial Services,Banks,Public Sector Bank
237,BANKINDIA,Bank of India,Financial Services,Financial Services,Banks,Public Sector Bank
238,BANSALWIRE,Bansal Wire Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
239,BANSWRAS,Banswara Syntex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
240,BARBEQUE,Barbeque Nation Hospitality Limited,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
241,BASF,BASF India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
242,BASML,Bannari Amman Spinning Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
243,BATAINDIA,Bata India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
244,BAYERCROP,Bayer Cropscience Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
245,BBL,Bharat Bijlee Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
246,BBOX,Black Box Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
